"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-07","0.21",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-08","0.01",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-09","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-10","0.01",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-11","0.01",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-12","0.52",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-13","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-14","0.01",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-15","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-16","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-17","0.53",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-18","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-19","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-20","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-21","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-22","0.00",",,E","0.0",",,E",,,,
"NLE00109014","BRIELLE, NL","51.9","4.15","1.0","2020-06-23","0.00",",,E","0.0",",,E",,,,
